Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","generic-SMD1608",146.506000,-109.530000,180.000000,top
"C2","4.7u","generic-SMD1608",151.564000,-107.990000,180.000000,top
"C3","0.1u","C-1206",154.600000,-111.460000,90.000000,top
"C4","0.1u","generic-SMD1608",146.474000,-114.990000,180.000000,top
"R1","10k","generic-SMD1608",151.580000,-115.030000,0.000000,top
"R2","10k","generic-SMD1608",151.564000,-116.850000,180.000000,top
"R3","10k","generic-SMD1608",151.566000,-106.120000,0.000000,top
"RV1","500k","rcl-RTRIMCVR42A",146.750000,-106.440000,90.000000,top
"U1","SPV0142LR5H","SPV0142LR5H",150.000000,-111.500000,270.000000,top
"U2","LM321","SC-70-5",146.500000,-112.260000,270.000000,top
